,YEAR,TEAM NO,TEAM ID,TEAM,CONF,DUNKS FG%,DUNKS SHARE,DUNKS FG%D,DUNKS D SHARE,CLOSE TWOS FG%,CLOSE TWOS SHARE,CLOSE TWOS FG%D,CLOSE TWOS D SHARE,FARTHER TWOS FG%,FARTHER TWOS SHARE,FARTHER TWOS FG%D,FARTHER TWOS D SHARE,THREES FG%,THREES SHARE,THREES FG%D,THREES D SHARE,DUNKS FG% RANK,DUNKS SHARE RANK,DUNKS FG%D RANK,DUNKS D SHARE RANK,CLOSE TWOS FG% RANK,CLOSE TWOS SHARE RANK,CLOSE TWOS FG%D RANK,CLOSE TWOS D SHARE RANK,FARTHER TWOS FG% RANK,FARTHER TWOS SHARE RANK,FARTHER TWOS FG%D RANK,FARTHER TWOS D SHARE RANK,THREES FG% RANK,THREES SHARE RANK,THREES FG%D RANK,THREES D SHARE RANK,SEED,ROUND,POWER,PATH,DRAW,WINS,POOL VALUE,POOL S-RANK,NCAA S-RANK,VAL Z-SCORE,POWER-PATH,Within Trapezoid of Excellence
0,2024,1079,2,Akron,MAC,97.2,6.8,90.6,5.6,62.8,33.9,58,37.7,43.8,24.6,39.9,25.6,32,41.5,30,36.8,7,110,277,180,55,272,179,209,31,205,239,195,276,71,14,170,14,0,54.3,79.8,,0,2,54,54,,-25.5,0
1,2024,1078,3,Alabama,SEC,81.9,9.5,89.2,7.3,63.1,42.4,60.2,37.9,35.7,10.8,37.6,25.3,36.5,46.8,31.9,36.7,303,31,219,319,48,48,265,218,299,361,106,185,40,19,67,164,4,0,77.3,66.4,,4,39,13,16,,10.9,0
2,2024,1077,8,Arizona,P12,91.2,11.9,89.3,5.9,63.3,44.3,57.4,30.3,37.9,23.1,38.5,31.5,37.1,32.6,33.4,38.2,87,8,222,216,44,22,158,17,234,241,154,328,23,295,149,219,2,0,86.2,64.6,,2,91.8,2,6,,21.6,0
3,2024,1076,12,Auburn,SEC,87.7,13.2,87.1,4.7,61.7,41.4,48.3,42,41.6,21.1,33.6,24.7,35.2,37.5,29.8,33.3,172,2,151,95,74,65,2,322,98,293,12,163,113,180,9,52,4,0,81.8,67,,0,49.6,9,15,,14.8,1
4,2024,1075,14,Baylor,B12,89.2,11.6,91.8,7.2,65.7,34.8,65.7,29.8,37.5,26.9,40,34.6,39.4,38.3,33.5,35.5,135,11,312,312,19,240,359,14,249,144,244,356,7,153,153,111,3,0,80.6,65.5,,1,51.5,8,9,,15.1,0
5,2024,1073,25,BYU,B12,88.9,6.1,92.1,5.9,72.9,27.3,64.3,28.9,39.4,22,35.6,37,34.8,50.7,31.8,34.1,144,144,318,216,1,355,349,9,170,270,46,359,137,2,60,72,6,0,73,66.5,,0,22.4,19,17,,6.5,0
6,2024,1072,33,Clemson,ACC,97.2,6.4,81,5.2,64.3,34.6,51.3,33.1,40.9,25.1,41.9,26.4,35.4,40.2,34,40.6,7,128,33,142,30,245,10,65,121,192,289,218,101,104,198,287,6,0,66.8,72.6,,3,8,32,22,,-5.8,0
7,2024,1071,36,Colgate,Pat,100,1.8,97.2,3.1,62.7,35.5,58.4,34.3,40.7,26.2,36,26,35.7,38.3,29.9,39.7,2,356,361,14,56,224,203,96,130,162,57,207,83,153,12,270,14,0,53.1,79.3,,0,1.8,56,56,,-26.2,0
8,2024,1070,37,College of Charleston,CAA,92.9,7.6,86,3.4,65,34.3,66.7,33.5,29.8,18.6,32.1,29.6,34.8,47.1,33.8,36.9,51,80,126,20,23,258,361,75,362,328,5,300,137,16,171,176,13,0,57.1,76,,0,3.1,48,52,,-18.9,0
9,2024,1069,38,Colorado,P12,87,6.8,86,6.5,60.6,48.1,58,40.2,38.1,21.5,37.2,24.5,39.4,30.4,31.9,35.3,190,110,126,269,91,4,179,284,228,281,89,155,7,324,67,104,10,0,71.1,68.8,,1,16.9,21,38,,2.3,0
10,2024,1068,39,Colorado St.,MWC,93.1,5.2,89.4,3.9,67.1,37.8,58.4,32.6,42.5,23.8,38.8,33.4,33.2,38.3,34,34,48,194,226,37,9,151,203,55,62,223,166,348,219,153,198,68,10,0,63.8,76.1,,0,6.4,39,40,,-12.3,0
11,2024,1067,40,Connecticut,BE,92.1,12.9,83.3,4.7,66.6,40.7,49.3,38.3,40.6,18.4,36.2,28.5,36.7,40.9,31.9,33.2,62,3,64,95,12,79,5,227,133,331,60,280,30,89,67,50,1,0,91.3,64.5,,6,92.6,1,1,,26.8,1
12,2024,1066,43,Creighton,BE,88.9,11.9,84,3.2,67.6,30.9,52.8,33.4,50,20.3,39.6,39.4,36.1,48.9,32.2,27.2,144,8,80,15,5,329,24,72,1,302,216,362,61,7,82,5,3,0,81.6,65.1,,2,54.7,7,10,,16.5,0
13,2024,1065,45,Dayton,A10,94.4,11.7,92.7,3.7,66,32.3,59.7,26.7,36.5,23.1,38.9,32.9,40.2,44.5,31.7,40.4,35,10,330,32,18,310,243,2,279,241,178,342,3,32,56,284,7,0,66.7,73.5,,1,7.7,33,28,,-6.8,0
14,2024,1064,48,Drake,MVC,83.3,2.5,92.3,2.3,64.5,32.5,62.1,28.5,44.2,27.9,42.9,32.3,36.5,39.6,33,39.3,279,326,325,5,27,304,316,7,28,126,316,337,40,119,127,254,10,0,61.3,70.2,,0,6,41,39,,-8.9,0
15,2024,1063,50,Duke,ACC,94.6,7.8,82.4,7.1,62.6,40.5,57.3,35.1,39.4,22.1,39.3,29.4,37.7,37.4,32.6,35.5,33,70,48,305,59,84,156,126,170,265,201,295,17,183,105,111,4,0,84.8,65.7,,3,77.5,4,13,,19.1,1
16,2024,1062,246,Duquesne,A10,77.9,9,83.3,5.1,53.1,34.9,52.9,35.2,44.8,25.4,42.4,27.5,33.9,39.7,31.7,37.3,339,41,64,132,323,239,26,131,23,185,305,257,181,118,56,191,11,0,57.1,74.9,,1,3.2,47,44,,-17.8,0
17,2024,1061,55,Florida,SEC,90.4,11.1,74.5,6.7,58.3,41.6,54,40.1,40.2,23.9,41.7,27.2,34.2,34.5,32.2,32.7,100,13,4,284,162,60,46,281,145,218,284,247,164,259,82,41,7,0,67.2,71.5,,0,6.5,37,25,,-4.3,0
18,2024,1060,56,Florida Atlantic,Amer,82.9,9,80.4,4,61.7,41.7,56.7,34.5,43.8,19.5,40.5,29.3,35.6,38.8,33.6,36.3,287,41,27,43,74,58,126,104,31,312,258,293,88,136,160,138,8,0,69.3,73.2,,0,9,28,31,,-3.9,0
19,2024,1059,68,Gonzaga,WCC,94.2,5.3,88.3,5,69.9,36.5,56.5,33.6,45,32.1,32.1,29.5,35.5,31.4,34,36.9,36,190,187,116,2,195,121,80,22,56,5,298,95,309,198,176,5,0,79.7,70.5,,2,33.2,15,21,,9.2,1
20,2024,1058,247,Grambling St.,SWAC,95.2,3.7,96.9,5.6,55.9,36.2,58,35.4,37.5,34,37.4,31.2,34.1,29.8,33.7,33.4,25,277,360,180,246,203,179,137,249,37,97,323,172,333,165,55,16,0,44.6,86.7,,0,0.6,63,63,,-42.1,0
21,2024,1057,69,Grand Canyon,WAC,88.2,8,83,4.4,56.8,42.8,48,44.5,43.3,21.1,37.1,21.9,34.4,36.1,32.6,33.6,162,64,58,67,209,43,1,350,42,293,85,67,153,213,105,56,12,0,64,73.9,,1,6.4,38,45,,-9.9,0
22,2024,1056,76,Houston,B12,91,7.6,86.2,5.8,66.2,25.3,56.9,30.3,36.6,38.1,29.1,28.8,34.7,36.6,30,40.9,91,80,129,199,14,360,137,17,277,9,1,286,141,200,14,295,1,0,87.1,65.9,,2,71,6,2,,21.2,1
23,2024,1054,78,Illinois,B10,88.2,7.1,83.9,5.9,65,38.3,58.9,33.9,37.8,23.4,35.7,38.1,34.9,38.3,34.3,27.9,162,100,75,216,23,136,219,87,238,232,50,361,128,153,223,7,3,0,80.7,65.6,,3,49.6,10,12,,15.1,0
24,2024,1053,83,Iowa St.,B12,90.5,7,97.7,4.6,67.4,31.6,62.5,23.8,38.2,36.4,35,31.2,34.9,32,31.5,45,97,104,362,85,7,322,325,1,222,17,34,323,128,303,52,354,2,0,78.7,65.4,,2,36.8,14,8,,13.3,1
25,2024,1052,85,James Madison,SB,87.4,7.4,90.3,5,61.7,43.3,55.7,39.2,37,18.6,38.2,25.7,36.5,38.1,28.6,35.1,179,88,265,116,74,34,87,259,268,328,138,200,40,161,2,94,12,0,63.2,72.6,,1,5.7,43,46,,-9.4,0
26,2024,1051,86,Kansas,B12,89.2,9.6,90.8,5.9,66.2,37.7,56.9,28,41.7,32.6,34.8,30.8,33.3,29.7,33.8,41.1,135,28,285,216,14,156,137,5,94,50,27,317,211,335,171,304,4,0,78.6,69.4,,1,29.9,16,14,,9.2,0
27,2024,1050,90,Kentucky,SEC,85.7,10.2,84.2,8.1,61.5,36.8,58.9,37.2,45.1,25.9,34.9,22.9,41.2,37.3,32.6,39.9,230,18,83,348,77,184,219,186,21,167,31,95,1,187,105,277,3,0,79.9,63.5,,0,48.9,12,11,,16.4,0
28,2024,1049,99,Long Beach St.,BW,96.4,3.9,73.6,4.7,61.9,34.4,58.5,33.2,38.5,37.3,37.7,23.2,31.3,28.3,35.1,43.6,11,262,1,95,68,256,204,69,210,11,113,106,307,348,264,345,15,0,51.3,84.7,,0,1,60,57,,-33.4,0
29,2024,1048,100,Longwood,BSth,88,5.8,90.2,5,55.9,38.3,65.1,29.1,40.2,33.1,37.7,31.5,34.4,28.5,34.5,39.3,166,158,263,116,246,136,355,10,145,43,113,328,153,346,233,254,16,0,52.3,86.9,,0,1,61,61,,-34.6,0
30,2024,1047,107,Marquette,BE,91.3,9.3,86.8,6.1,61.8,41.9,56.1,35.3,42.3,17.6,37.9,21.6,35.8,40.5,33.6,43.1,86,33,142,233,69,55,102,132,71,338,123,51,75,98,160,340,2,0,81,66.1,,2,49.5,11,7,,14.9,0
31,2024,1046,248,McNeese St.,Slnd,92.8,7.6,88.1,5.2,58,45.3,52,34.6,41.7,21.1,34.8,17.2,39.4,33.6,33,48.1,53,80,176,142,171,15,16,108,94,293,27,1,7,277,127,362,12,0,62.9,78.6,,0,3.6,46,47,,-15.7,0
32,2024,1045,115,Michigan St.,B10,86.9,9,80,5.1,64.9,34,57.9,29.7,36.8,35.8,36,29,35.9,30.2,32.8,41.3,192,41,24,132,24,270,175,13,272,19,57,288,70,327,117,307,9,0,74.5,70.9,,1,23.1,18,33,,3.6,0
33,2024,1044,120,Mississippi St.,SEC,90.5,9.5,90.4,6.3,60.9,42,60.6,32.9,37.3,19.9,37.4,25.8,32.5,38.1,29.4,41.2,97,31,273,251,86,54,281,61,257,306,97,202,251,161,6,306,8,0,67.7,75.5,,0,8.2,30,32,,-7.8,0
34,2024,1042,125,Morehead St.,OVC,87.9,7.3,83.6,4.7,62.5,35.2,54.2,37.6,43.1,19.6,34.8,31.2,35.3,45.1,31.1,31.2,169,92,70,95,62,234,50,206,47,311,27,323,109,25,35,23,14,0,56.7,79.3,,0,2.4,51,55,,-22.6,0
35,2024,1041,129,Nebraska,B10,83.3,3.9,87.1,7.1,61.4,31.1,57.9,28.3,41.7,24.4,33.3,30,35.8,44.5,31.9,41.7,279,262,151,305,79,328,175,6,94,210,10,306,75,32,67,314,8,0,66.9,74.8,,0,7,36,29,,-7.9,0
36,2024,1040,130,Nevada,MWC,95.4,5.6,94.4,5.1,63.8,31.9,54.7,35.5,42.2,34.5,40.5,23.4,36.5,33.6,31.3,41.1,24,171,346,132,36,319,61,139,75,29,258,112,40,277,41,304,10,0,66.9,72,,0,8.5,29,37,,-5.1,0
37,2024,1039,131,New Mexico,MWC,84.1,5.7,84.6,6.2,59.1,45.2,57.2,39.5,37.5,25,35.8,23.9,33.4,29.8,30.6,36.6,258,162,96,241,135,16,147,269,249,194,52,138,207,333,24,153,11,0,68.3,71.2,,0,10.9,26,41,,-2.9,0
38,2024,1038,135,North Carolina,ACC,85.2,6.5,89.5,4.3,56.7,37.4,53.2,30.8,41.4,26.7,39.3,33.1,35.4,35.9,31.4,36.1,238,123,232,60,216,167,32,22,106,149,201,344,101,219,46,130,1,0,77.9,65.6,,2,27,17,4,,12.3,1
39,2024,1037,138,North Carolina St.,ACC,91.7,3.3,90.7,6.3,59.1,35.7,59.7,36.7,39.8,30.9,36.3,27.9,34.6,33.4,34.8,35.4,75,293,283,251,135,220,243,170,161,74,63,266,145,282,247,107,11,0,60.2,70,,4,5.1,44,43,,-9.8,0
40,2024,1036,147,Northwestern,B10,86.3,6.9,84.6,7.4,57.4,32.3,58.8,37.1,41.6,30.8,38.2,26.1,39.4,36.8,35.9,36.9,209,107,96,324,182,310,213,181,98,76,138,210,7,196,315,176,9,0,62.9,75.5,,1,4.2,45,36,,-12.6,0
41,2024,1035,150,Oakland,Horz,90.7,6.2,89.5,6.3,62.8,28.8,56.8,29.5,41.4,30.4,44.2,29.8,35.1,40.8,33.9,40.7,94,140,232,251,55,346,130,12,106,82,340,301,119,93,182,289,14,0,52.3,78.3,,1,1.9,55,53,,-26,0
42,2024,1034,157,Oregon,P12,94.6,7.3,91.5,5.8,60.6,37.5,59.8,33.9,41.2,25.8,42.3,29.9,33.6,36.7,34.3,36.2,33,92,302,199,91,165,248,87,112,172,302,304,197,199,223,134,11,0,60.9,70,,1,5.9,42,42,,-9.1,0
43,2024,1033,167,Purdue,B10,95.6,10.9,91.7,5.6,66.7,33.4,64.3,28.8,38.9,31.7,34.4,34,40.8,35,31.4,37.2,21,14,310,180,11,287,349,8,194,62,20,351,2,247,46,189,1,0,87,65.3,,5,79,3,3,,21.7,1
44,2024,1032,175,Saint Mary's,WCC,88.2,5.7,82.6,3.8,58.9,44.6,50.8,38.1,39,18.7,35.3,32.9,35.5,36.7,32.4,29,162,162,53,35,146,21,8,222,187,323,38,342,95,199,88,8,5,0,73.8,69.5,,0,22.1,20,20,,4.3,0
45,2024,1031,176,Saint Peter's,MAAC,83.7,3.6,89.7,3.7,48.5,36,51.8,37.8,35.8,32.9,38.9,27.6,33.9,31.1,31.5,34.5,265,282,247,32,359,212,13,213,298,46,178,260,181,314,52,81,15,0,49.9,84.2,,0,0.9,62,60,,-34.3,0
46,2024,1030,249,Samford,SC,78.9,5,79.7,5.6,60.2,42.6,55.8,37.1,43.4,16.5,39.3,22.8,39.3,40.9,33.9,40.1,334,203,21,180,101,45,91,181,39,344,201,90,8,89,182,283,13,0,58.5,77.7,,0,2.8,50,51,,-19.2,0
47,2024,1029,179,San Diego St.,MWC,83.3,6.7,89.4,4.3,60.2,32.9,56.9,33,41.9,29.3,37.5,26.5,31.3,37.8,30.5,40.5,279,114,226,60,101,297,137,62,84,104,101,223,307,169,22,286,5,0,71.5,68.2,,2,14.7,22,18,,3.3,0
48,2024,1028,185,South Carolina,SEC,83.6,6.4,79.5,5.7,59.4,38,54.5,35.7,36,21.1,38.7,33,33.5,40.9,33.6,31.3,268,128,19,189,121,147,56,144,292,293,162,343,202,89,160,27,6,0,63.5,69.4,,0,7.4,35,24,,-5.9,0
49,2024,1027,186,South Dakota St.,Sum,86,10.8,95.2,4.4,62.4,36.7,60.5,27.7,45.6,23.1,36.4,25.2,36.2,40.2,35.2,47.1,220,15,352,67,63,189,276,4,15,241,66,183,53,104,272,361,15,0,52.4,77.6,,0,2.2,53,59,,-25.2,0
50,2024,1026,250,Stetson,ASun,91,6.5,84.4,3.8,55.5,32.9,55.9,38.7,48.5,25.3,46.4,23.9,36.5,41.8,34.5,37.4,91,123,86,35,260,297,97,241,4,188,355,138,40,68,233,193,16,0,47.1,91,,0,0.5,64,62,,-43.9,0
51,2024,1025,197,TCU,B12,87.5,7.4,89.8,8.1,60.2,42.3,58.4,41.6,37.3,27.5,37.7,23.2,35.6,30.2,32.8,35.2,178,88,248,348,101,51,203,316,257,134,113,106,88,327,117,99,9,0,66.7,71.4,,0,7.6,34,35,,-4.7,0
52,2024,1024,199,Tennessee,SEC,83.3,9.8,85.4,3.7,57.6,36.7,51.6,35.6,41.7,22,32.9,23,34.2,41.3,31.4,41.4,279,25,114,32,178,189,11,140,94,270,8,101,164,77,46,310,2,0,85.4,65.8,,3,74.3,5,5,,19.6,1
53,2024,1023,200,Texas,B12,88.7,12.3,85.2,7.2,67.2,33.3,54.3,39.6,38.9,31.9,37.5,28,36.2,34.8,34.9,32.4,147,6,109,312,8,290,52,271,194,60,101,267,53,253,252,37,7,0,73.4,72.9,,1,13,23,27,,0.5,0
54,2024,1022,201,Texas A&M,SEC,81.3,5.6,85.2,7.5,54.6,39.6,58.2,31.5,33.5,22.2,37.8,23.6,28.4,38.1,33.9,44.9,315,171,109,329,287,97,192,35,340,262,117,117,354,161,182,353,9,0,68.2,72.8,,1,8.2,31,34,,-4.6,0
55,2024,1021,204,Texas Tech,B12,91.7,8.7,88.9,6,61.5,34.1,60.5,31.7,37.9,24.8,37.9,29.3,36.5,41.1,32.1,39,75,45,209,226,77,265,276,38,234,198,123,293,40,82,77,247,6,0,66,67.3,,0,11.4,25,23,,-1.3,0
56,2024,1020,207,UAB,Amer,88.5,7.7,81.7,6.5,57.3,42.2,58.6,38.3,39.3,26.5,37.2,24.9,33.1,31.3,35,36.7,153,74,41,269,184,53,207,227,176,154,89,174,222,312,261,164,12,0,55.7,74.2,,0,3,49,48,,-18.5,0
57,2024,1019,221,Utah St.,MWC,86.4,9.9,95.4,5.6,64.2,43.7,59.1,39.8,43.7,22.9,43,23.5,32.1,33.4,29,36.7,208,22,353,180,31,29,225,274,33,247,317,114,273,282,3,164,8,0,64.6,74.2,,1,6.1,40,30,,-9.6,0
58,2024,1018,227,Vermont,AE,87.3,5.4,80,2.2,59.6,33.8,53.8,37.2,43.1,22.1,36,26.4,33.5,44.1,31.5,36.5,182,183,24,3,113,275,42,186,47,265,57,218,202,35,52,148,13,0,55.5,81.5,,0,1.7,57,49,,-26,0
59,2024,1016,251,Wagner,NEC,86.4,2.2,91.8,5.3,52.3,30.2,55.9,34.5,33.7,31.6,43.9,24.3,31.6,38.2,29.9,41.1,208,338,312,152,334,336,97,104,335,67,336,150,295,156,12,304,16,0,44.7,77.8,,0,1.1,59,64,,-33.1,0
60,2024,1015,233,Washington St.,P12,92.6,8.2,80.6,5.6,60.9,38.5,53.8,37.9,41.9,29.5,38.4,30.6,34,32,32,31.5,55,55,29,180,86,124,42,218,84,97,150,314,177,303,71,30,7,0,66.4,68.8,,1,12,24,26,,-2.4,0
61,2024,1014,236,Western Kentucky,CUSA,89.1,5,81.7,5.4,57.1,45.6,57.1,36,42.3,23.5,35,23.9,34.4,31,32.2,40.1,136,203,41,158,194,13,143,154,71,230,34,138,153,317,82,283,15,0,52.5,80,,0,1.6,58,58,,-27.5,0
62,2024,1013,240,Wisconsin,B10,83.6,5.1,92.3,5.2,59.3,39.1,64.5,31.1,42.3,25.5,37.7,34.5,34.8,35.4,37.1,34.4,268,197,325,142,127,105,350,27,71,183,113,355,137,228,346,77,5,0,68.9,71.7,,0,9.1,27,19,,-2.8,0
63,2024,1012,245,Yale,Ivy,93.9,3,85.3,3.5,59.3,38.8,58.7,32.1,42.4,25.8,36.8,26.6,34.6,35.3,34,41.4,40,308,112,25,127,112,210,43,64,172,73,228,145,234,198,310,13,0,57.6,79.1,,1,2.4,52,50,,-21.5,0
64,2023,1011,3,Alabama,SEC,88.7,13,85.2,5.3,60.7,38.9,49.7,32,34.6,13.9,33.4,38.1,33.5,47.2,28.3,30,160,5,92,145,115,95,3,50,310,361,24,363,198,9,4,10,1,16,85.2,63.8,1.51,2,74.7,4,1,0.144,21.4,0
65,2023,1010,8,Arizona,P12,90.9,9.4,90.9,5.7,68,36.9,60.7,27.6,39.5,25.4,34.4,33.7,37.8,37.7,32.3,38.7,105,35,255,182,1,156,254,5,133,217,39,350,17,173,82,232,2,64,80.9,65.3,0.65,0,57.5,7,7,-0.247,15.6,0
66,2023,1009,9,Arizona St.,P12,88.6,10.1,81.4,6.7,56.5,32.3,49.5,36,39.3,28.3,35.1,25,32.2,39.3,34.1,39,163,23,34,262,261,293,2,178,138,145,51,135,278,123,197,247,11,64,60.2,75.2,-0.27,0,4.3,48,45,-0.714,-15,0
67,2023,1008,10,Arkansas,SEC,92,11.7,95.8,6.8,66.3,40,56.5,41.4,35.4,32.3,34,28.1,31.3,27.7,31.1,30.5,74,9,355,274,10,65,101,332,293,51,34,247,319,349,36,18,8,16,78.1,75.6,-0.6,2,23.1,19,30,2.032,2.5,0
68,2023,1007,12,Auburn,SEC,93.5,10.8,88.9,7.8,60.7,38.6,56.2,40.8,35.9,26.2,31.9,24.7,31.5,35.2,28.8,34.5,53,12,200,328,115,101,84,325,268,189,9,124,311,253,6,86,9,32,71.9,72.7,0.54,1,13.8,26,35,1.469,-0.8,0
69,2023,1006,14,Baylor,B12,83.8,7.4,95.7,7.9,65.9,24.9,71.6,29.6,39.9,30.3,36.7,32.5,36.8,44.9,32.5,37.9,279,92,353,332,14,362,363,18,120,93,105,340,39,25,91,206,3,32,78.8,66.8,0.22,1,44.5,11,9,0.337,12,0
70,2023,1005,17,Boise St.,MWC,84.1,5.3,82.4,5.6,62.9,31.9,59.6,33.8,37.8,30,33.9,28.4,36,38.1,31.7,37.8,272,190,47,176,57,305,213,94,202,105,32,258,77,158,61,202,10,64,65.7,70.2,0.95,0,8.7,36,37,0.225,-4.5,0
71,2023,1004,36,Colgate,Pat,95.7,1.8,91.8,3.9,63.4,42.3,61.2,31.2,45.1,23.2,42.2,31.9,40.5,34.5,35.6,37,20,348,295,38,45,24,269,39,12,268,321,336,1,273,275,175,15,64,54.9,79.2,0.85,0,2.3,55,60,0.974,-24.3,0
72,2023,1003,37,College of Charleston,CAA,86.5,4.6,79.5,3.2,60.9,33.8,60.7,33,37.5,18.8,38.3,35.1,33,47.3,30.1,31.9,223,229,24,16,110,249,254,74,214,334,179,355,224,8,18,31,12,64,60.9,71.1,1.29,0,6.4,41,47,0.596,-10.2,0
73,2023,1002,40,Connecticut,BE,85,11.8,86.8,4.6,64.2,37.8,53.4,37.9,34.1,20.5,33.6,31.7,36.3,41.7,29.7,30.4,254,8,142,86,29,123,24,251,321,316,27,334,63,70,15,15,4,1,83.3,68.8,-0.46,6,58.3,6,13,1.068,14.5,1
74,2023,1001,43,Creighton,BE,94.7,10.4,78.9,4.3,63.6,37,56.6,32.7,40.3,21.3,36.3,37.8,35.4,41.7,33.6,29.5,33,17,19,67,38,151,103,63,97,309,88,362,99,70,149,9,6,8,77.4,69.5,0.47,3,35.3,13,22,1.858,7.9,0
75,2023,1000,48,Drake,MVC,72.7,2.7,88.2,2.8,61.8,30.6,55.2,29,42.6,32.9,39.7,32.8,36.4,36.5,31.3,38.2,358,328,184,8,89,333,57,15,41,40,250,342,59,213,45,217,12,64,60.4,69.8,1.7,0,6.8,40,49,0.777,-9.4,0
76,2023,999,50,Duke,ACC,92.4,8.8,85.7,5.8,60.5,40.8,55.6,35.1,36.2,23.9,34.9,29.2,33.5,35.3,30.5,35.6,67,51,105,191,117,46,66,143,259,252,47,293,198,252,21,131,5,32,79.5,69.7,0.16,1,37,12,18,1.021,9.8,0
77,2023,998,54,Fairleigh Dickinson,NEC,79.4,2.5,90.9,6.6,57.4,36.4,64.2,36.6,42.3,26,42.5,23.3,34.3,37.7,35.3,40.1,333,337,255,258,228,175,341,203,48,196,332,67,164,173,265,282,16,32,43.5,79.4,1.82,1,0.8,62,68,-0.055,-35.9,0
78,2023,997,56,Florida Atlantic,CUSA,77.3,7.1,93.2,4.2,58.6,40,51.5,32.3,41.8,16.1,38.1,33,36.6,43.9,32.4,34.7,346,103,324,59,184,65,8,57,58,355,172,343,44,36,86,93,9,4,69.7,72.6,0.57,4,13,29,33,1.269,-2.9,0
79,2023,996,60,Furman,SC,91.5,9.1,93.6,3.8,65.9,37.8,60,40.3,39.7,15.6,37.8,24.9,34.1,46.7,32.7,34.8,84,41,329,35,14,123,233,317,128,357,159,129,172,12,101,97,13,32,57.4,70.9,1.47,1,5,43,53,1.02,-13.5,0
80,2023,995,68,Gonzaga,WCC,92.9,5.7,84.3,6.2,67.5,39.7,60.6,34.8,44.9,27.7,37.3,26.2,37.5,32.6,35.2,39,62,172,76,234,3,77,250,128,13,154,135,186,24,306,260,247,3,8,83.9,66.3,0.51,3,62.9,5,10,1.418,17.6,0
81,2023,994,69,Grand Canyon,WAC,78.6,5.2,86.3,3.9,53.8,38,53.3,41.1,44.4,21.3,37.4,26.3,37.5,40.7,32.3,32.6,341,193,123,38,322,117,22,328,17,309,143,191,24,92,82,43,14,64,55.6,82.3,-1.13,0,1.7,59,57,-0.773,-26.7,0
82,2023,993,76,Houston,Amer,94,9.8,83.6,6.1,67.4,29.7,55.1,32.2,39.9,32.4,27.8,24.4,34,37.9,27.9,43.5,44,27,62,225,4,347,53,53,120,50,1,113,175,163,2,340,1,16,89.5,63.7,1.58,2,116,1,2,2.107,25.8,1
